crop,plant_id,plant_type,plant_name,plant_common_name,plant_taxon_level,plant_family,plant_genus,plant_species
family:bignoniaceae,family:bignoniaceae,non-crop,Bignoniaceae,Trumpte Creeper Family,Family,Bignoniaceae,NA,NA
family:bixaceae,family:bixaceae,non-crop,Bixaceae,Annatto or Lipstick-tree Family,Family,Bixaceae,NA,NA
family:boraginaceae,family:boraginaceae,non-crop,Boraginaceae,Borage or Forget-Me-Not Family,Family,Boraginaceae,NA,NA
family:brassicaceae,family:brassicaceae,non-crop,Brassicaceae,Mustard Family,Family,Brassicaceae,NA,NA
family:bromeliaceae,family:bromeliaceae,non-crop,Bromeliaceae,Bromeliad Family,Family,Bromeliaceae,NA,NA
family:burseraceae,family:burseraceae,non-crop,Burseraceae,Torchwood Family,Family,Burseraceae,NA,NA
family:cactaceae,family:cactaceae,non-crop,Cactaceae,Cactus Family,Family,Cactaceae,NA,NA
family:calycanthaceae,family:calycanthaceae,non-crop,Calycanthaceae,Sweetshrub or Spicebush Family,Family,Calycanthaceae,NA,NA
family:campanulaceae,family:campanulaceae,non-crop,Campanulaceae,Bellflower Family,Family,Campanulaceae,NA,NA
family:cannaceae,family:cannaceae,non-crop,Cannaceae,Canna Family,Family,Cannaceae,NA,NA
family:capparaceae,family:capparaceae,non-crop,Capparaceae,Caper Family,Family,Capparaceae,NA,NA
family:caprifoliaceae,family:caprifoliaceae,non-crop,Caprifoliaceae,Honeysuckle Family,Family,Caprifoliaceae,NA,NA
family:caryophyllaceae,family:caryophyllaceae,non-crop,Caryophyllaceae,Carnation or Pink Family,Family,Caryophyllaceae,NA,NA
family:celastraceae,family:celastraceae,non-crop,Celastraceae,Bittersweet or Stiff Vine Family,Family,Celastraceae,NA,NA
family:chenopodiaceae,family:chenopodiaceae,non-crop,Chenopodiaceae,Goosefoot Family,Family,Chenopodiaceae,NA,NA
family:cistaceae,family:cistaceae,non-crop,Cistaceae,Rock-rose Family,Family,Cistaceae,NA,NA
family:cleomaceae,family:cleomaceae,non-crop,Cleomaceae,Stinkweed Family,Family,Cleomaceae,NA,NA
family:colchicaceae,family:colchicaceae,non-crop,Colchicaceae,Colchicum Family,Family,Colchicaceae,NA,NA
family:commelinaceae,family:commelinaceae,non-crop,Commelinaceae,Dayflower or Spiderwort Family,Family,Commelinaceae,NA,NA
family:convolvulaceae,family:convolvulaceae,non-crop,Convolvulaceae,Morning Glory Family,Family,Convolvulaceae,NA,NA
family:cornaceae,family:cornaceae,non-crop,Cornaceae,Dogwood Family,Family,Cornaceae,NA,NA
family:crassulaceae,family:crassulaceae,non-crop,Crassulaceae,"Live Forever, Orpine, or Stonecrop Family",Family,Crassulaceae,NA,NA
family:crossosomataceae,family:crossosomataceae,non-crop,Crossosomataceae,Crossosoma Family,Family,Crossosomataceae,NA,NA
family:cucurbitaceae,family:cucurbitaceae,non-crop,Cucurbitaceae,Cucumber Family,Family,Cucurbitaceae,NA,NA
family:cupressaceae,family:cupressaceae,non-crop,Cupressaceae,Cypress Family,Family,Cupressaceae,NA,NA
family:cyperaceae,family:cyperaceae,non-crop,Cyperaceae,Sedge Family,Family,Cyperaceae,NA,NA
family:diapensiaceae,family:diapensiaceae,non-crop,Diapensiaceae,Diapensia Family,Family,Diapensiaceae,NA,NA
family:dioscoreaceae,family:dioscoreaceae,non-crop,Dioscoreaceae,Yam family,Family,Dioscoreaceae,NA,NA
family:ericaceae,family:ericaceae,non-crop,Ericaceae,Heath or Heather Family,Family,Ericaceae,NA,NA
family:euphorbiaceae,family:euphorbiaceae,non-crop,Euphorbiaceae,Euphorbias or Spurge Family,Family,Euphorbiaceae,NA,NA
family:fabaceae,family:fabaceae,non-crop,Fabaceae,"Bean, Pea, or Legume Family",Family,Fabaceae,NA,NA
family:fagaceae,family:fagaceae,non-crop,Fagaceae,Beech or Oak Family,Family,Fagaceae,NA,NA
family:ficoidaceae,family:ficoidaceae,non-crop,Ficoidaceae,Fig Marigold,Family,Ficoidaceae,NA,NA
family:fouquieriaceae,family:fouquieriaceae,non-crop,Fouquieriaceae,Ocotillo Family,Family,Fouquieriaceae,NA,NA
family:garryaceae,family:garryaceae,non-crop,Garryaceae,Silk Tassel Family,Family,Garryaceae,NA,NA
family:gentianaceae,family:gentianaceae,non-crop,Gentianaceae,Gentian Family,Family,Gentianaceae,NA,NA
family:geraniaceae,family:geraniaceae,non-crop,Geraniaceae,Cranesbill or Storksbill Family,Family,Geraniaceae,NA,NA
family:gesneriaceae,family:gesneriaceae,non-crop,Gesneriaceae,Gesneriad Family,Family,Gesneriaceae,NA,NA
family:goodeniaceae,family:goodeniaceae,non-crop,Goodeniaceae,Fanflower Family,Family,Goodeniaceae,NA,NA
family:haemodoraceae,family:haemodoraceae,non-crop,Haemodoraceae,Bloodwort Family,Family,Haemodoraceae,NA,NA
family:hamamelidaceae,family:hamamelidaceae,non-crop,Hamamelidaceae,Witch-hazel Family,Family,Hamamelidaceae,NA,NA
family:hydrangeaceae,family:hydrangeaceae,non-crop,Hydrangeaceae,Hydrangea Family,Family,Hydrangeaceae,NA,NA
family:hydrophyllaceae,family:hydrophyllaceae,non-crop,Hydrophyllaceae,Waterleaf Family,Family,Hydrophyllaceae,NA,NA
family:hypericaceae,family:hypericaceae,non-crop,Hypericaceae,St. John's-wort Family,Family,Hypericaceae,NA,NA
family:hypoxidaceae,family:hypoxidaceae,non-crop,Hypoxidaceae,Hypoxidia Family,Family,Hypoxidaceae,NA,NA
family:iridaceae,family:iridaceae,non-crop,Iridaceae,Iris Family,Family,Iridaceae,NA,NA
family:juglandaceae,family:juglandaceae,non-crop,Juglandaceae,Walnut Family,Family,Juglandaceae,NA,NA
family:krameriaceae,family:krameriaceae,non-crop,Krameriaceae,Ratany/Rattany/Rhatany Family,Family,Krameriaceae,NA,NA
family:lamiaceae,family:lamiaceae,non-crop,Lamiaceae,Mint Family,Family,Lamiaceae,NA,NA
family:lauraceae,family:lauraceae,non-crop,Lauraceae,Laurel Family,Family,Lauraceae,NA,NA
family:lentibulariaceae,family:lentibulariaceae,non-crop,Lentibulariaceae,Bladderwort Family,Family,Lentibulariaceae,NA,NA
family:liliaceae,family:liliaceae,non-crop,Liliaceae,Lily Family,Family,Liliaceae,NA,NA
family:linaceae,family:linaceae,non-crop,Linaceae,Flax Family,Family,Linaceae,NA,NA
family:linderniaceae,family:linderniaceae,non-crop,Linderniaceae,Lindernia Family,Family,Linderniaceae,NA,NA
family:loasaceae,family:loasaceae,non-crop,Loasaceae,Blazingstar or Stickleaf Family,Family,Loasaceae,NA,NA
family:loganiaceae,family:loganiaceae,non-crop,Loganiaceae,Logania Family,Family,Loganiaceae,NA,NA
family:lythraceae,family:lythraceae,non-crop,Lythraceae,Loosestrife Family,Family,Lythraceae,NA,NA
family:magnoliaceae,family:magnoliaceae,non-crop,Magnoliaceae,Magnolia Family,Family,Magnoliaceae,NA,NA
family:malpighiaceae,family:malpighiaceae,non-crop,Malpighiaceae,Barbados Cherry Family,Family,Malpighiaceae,NA,NA
family:malvaceae,family:malvaceae,non-crop,Malvaceae,Mallow Family,Family,Malvaceae,NA,NA
family:mazaceae,family:mazaceae,non-crop,Mazaceae,Mazus Family,Family,Mazaceae,NA,NA
family:melanthiaceae,family:melanthiaceae,non-crop,Melanthiaceae,Bunchflower Family,Family,Melanthiaceae,NA,NA
family:melastomataceae,family:melastomataceae,non-crop,Melastomataceae,Melastome Family,Family,Melastomataceae,NA,NA
family:moraceae,family:moraceae,non-crop,Moraceae,Fig or Mulberry Family,Family,Moraceae,NA,NA
family:nelumbonaceae,family:nelumbonaceae,non-crop,Nelumbonaceae,Nelumbo Family,Family,Nelumbonaceae,NA,NA
family:nyctaginaceae,family:nyctaginaceae,non-crop,Nyctaginaceae,Four O’Clock Family,Family,Nyctaginaceae,NA,NA
family:nymphaeaceae,family:nymphaeaceae,non-crop,Nymphaeaceae,Water Lily Family,Family,Nymphaeaceae,NA,NA
family:oleaceae,family:oleaceae,non-crop,Oleaceae,Olive Family,Family,Oleaceae,NA,NA
family:onagraceae,family:onagraceae,non-crop,Onagraceae,Evening Primrose Family,Family,Onagraceae,NA,NA
family:orchidaceae,family:orchidaceae,non-crop,Orchidaceae,Orchid Family,Family,Orchidaceae,NA,NA
family:orobanchaceae,family:orobanchaceae,non-crop,Orobanchaceae,Broomrape Family,Family,Orobanchaceae,NA,NA
family:oxalidaceae,family:oxalidaceae,non-crop,Oxalidaceae,Wood Sorrel Family,Family,Oxalidaceae,NA,NA
family:paeoniaceae,family:paeoniaceae,non-crop,Paeoniaceae,Peony Family,Family,Paeoniaceae,NA,NA
family:papaveraceae,family:papaveraceae,non-crop,Papaveraceae,Poppy Family,Family,Papaveraceae,NA,NA
family:passifloraceae,family:passifloraceae,non-crop,Passifloraceae,Passion Vine Family,Family,Passifloraceae,NA,NA
family:phrymaceae,family:phrymaceae,non-crop,Phrymaceae,Lopseed Family,Family,Phrymaceae,NA,NA
family:phytolaccaceae,family:phytolaccaceae,non-crop,Phytolaccaceae,Pokeweed Family,Family,Phytolaccaceae,NA,NA
family:plantaginaceae,family:plantaginaceae,non-crop,Plantaginaceae,Plantain Family,Family,Plantaginaceae,NA,NA
family:platanaceae,family:platanaceae,non-crop,Platanaceae,Plane-tree Family,Family,Platanaceae,NA,NA
family:plumbaginaceae,family:plumbaginaceae,non-crop,Plumbaginaceae,Leadwort or Plumbago Family,Family,Plumbaginaceae,NA,NA
family:polemoniaceae,family:polemoniaceae,non-crop,Polemoniaceae,Jacob’s Ladder or Phlox Family,Family,Polemoniaceae,NA,NA
family:polygonaceae,family:polygonaceae,non-crop,Polygonaceae,Buckwheat Family,Family,Polygonaceae,NA,NA
family:pontederiaceae,family:pontederiaceae,non-crop,Pontederiaceae,Water Hyacinth Family,Family,Pontederiaceae,NA,NA
family:portulacaceae,family:portulacaceae,non-crop,Portulacaceae,Purslane Family,Family,Portulacaceae,NA,NA
family:primulaceae,family:primulaceae,non-crop,Primulaceae,Primrose Family,Family,Primulaceae,NA,NA
family:ranunculaceae,family:ranunculaceae,non-crop,Ranunculaceae,Buttercup or Crowfoot Family,Family,Ranunculaceae,NA,NA
family:rhamnaceae,family:rhamnaceae,non-crop,Rhamnaceae,Buckthorn Family,Family,Rhamnaceae,NA,NA
family:rosaceae,family:rosaceae,non-crop,Rosaceae,Rose Family,Family,Rosaceae,NA,NA
family:rubiaceae,family:rubiaceae,non-crop,Rubiaceae,"Bedstraw, Coffee or Madder Family",Family,Rubiaceae,NA,NA
family:rutaceae,family:rutaceae,non-crop,Rutaceae,Citrus or Rue Family,Family,Rutaceae,NA,NA
family:salicaceae,family:salicaceae,non-crop,Salicaceae,Willow Family,Family,Salicaceae,NA,NA
family:santalaceae,family:santalaceae,non-crop,Santalaceae,Sandalwood Family,Family,Santalaceae,NA,NA
family:sapindaceae,family:sapindaceae,non-crop,Sapindaceae,Soapberry Family,Family,Sapindaceae,NA,NA
family:sarraceniaceae,family:sarraceniaceae,non-crop,Sarraceniaceae,Pitcher Plant Family,Family,Sarraceniaceae,NA,NA
family:saururaceae,family:saururaceae,non-crop,Saururaceae,Lizard's-tail Family,Family,Saururaceae,NA,NA
family:saxifragaceae,family:saxifragaceae,non-crop,Saxifragaceae,Saxifrage Family,Family,Saxifragaceae,NA,NA
family:scrophulariaceae,family:scrophulariaceae,non-crop,Scrophulariaceae,Figwort or Snapdragon Family,Family,Scrophulariaceae,NA,NA
family:simaroubaceae,family:simaroubaceae,non-crop,Simaroubaceae,Quassia Family,Family,Simaroubaceae,NA,NA
family:smilacaceae,family:smilacaceae,non-crop,Smilacaceae,Greenbrier Family,Family,Smilacaceae,NA,NA
family:solanaceae,family:solanaceae,non-crop,Solanaceae,"Nightshade, Tomato, or Potato Family",Family,Solanaceae,NA,NA
family:staphyleaceae,family:staphyleaceae,non-crop,Staphyleaceae,Bladdernut Family,Family,Staphyleaceae,NA,NA
family:styracaceae,family:styracaceae,non-crop,Styracaceae,Styrax Family,Family,Styracaceae,NA,NA
family:tamaricaceae,family:tamaricaceae,non-crop,Tamaricaceae,Tamarisk Family,Family,Tamaricaceae,NA,NA
family:thymelaeaceae,family:thymelaeaceae,non-crop,Thymelaeaceae,Thymelaea Family,Family,Thymelaeaceae,NA,NA
family:tropaeolaceae,family:tropaeolaceae,non-crop,Tropaeolaceae,Nasturtium Family,Family,Tropaeolaceae,NA,NA
family:typhaceae,family:typhaceae,non-crop,Typhaceae,Cattail Family,Family,Typhaceae,NA,NA
family:ulmaceae,family:ulmaceae,non-crop,Ulmaceae,Elm Family,Family,Ulmaceae,NA,NA
family:urticaceae,family:urticaceae,non-crop,Urticaceae,Nettle Family,Family,Urticaceae,NA,NA
family:verbenaceae,family:verbenaceae,non-crop,Verbenaceae,Verbena Family,Family,Verbenaceae,NA,NA
family:violaceae,family:violaceae,non-crop,Violaceae,Violet or Pansy Family,Family,Violaceae,NA,NA
family:vitaceae,family:vitaceae,non-crop,Vitaceae,Grape Family,Family,Vitaceae,NA,NA
family:xyridaceae,family:xyridaceae,non-crop,Xyridaceae,Yellow-eyed Grass Family,Family,Xyridaceae,NA,NA
family:zygophyllaceae,family:zygophyllaceae,non-crop,Zygophyllaceae,Caltrop Family,Family,Zygophyllaceae,NA,NA
family:grossulariaceae,family:grossulariaceae,non-crop,Grossulariaceae,Currant or Gooseberry Family,Family,Grossulariaceae,NA,NA
genus:abronia,genus:abronia,non-crop,Abronia,Sand Verbenas,Genus,Nyctaginaceae,Abronia,NA
genus:acanthus,genus:acanthus,non-crop,Acanthus,Acanthus,Genus,Acanthaceae,Acanthus,NA
genus:acer,genus:acer,non-crop,Acer,Maple,Genus,Sapindaceae,Acer,NA
genus:achillea,genus:achillea,non-crop,Achillea,Yarrow,Genus,Asteraceae,Achillea,NA
genus:aconitum,genus:aconitum,non-crop,Aconitum,"Aconite, Monkshood, Wolf's-Bane, Leopard's Bane, Mousebane, Women's Bane, Devil's Helmet, Queen of Poisons, or Blue Rocket",Genus,Ranunculaceae,Aconitum,NA
genus:actaea,genus:actaea,non-crop,Actaea,Baneberry,Genus,Ranunculaceae,Actaea,NA
genus:actinotus,genus:actinotus,non-crop,Actinotus,Flannel Flower,Genus,Apiaceae,Actinotus,NA
genus:adenium,genus:adenium,non-crop,Adenium,Adenium,Genus,Apocynaceae,Adenium,NA
genus:aechmea,genus:aechmea,non-crop,Aechmea,"Bromeliad, Urn Plant",Genus,Bromeliaceae,Aechmea,NA
genus:aesculus,genus:aesculus,non-crop,Aesculus,Buckeye,Genus,Sapindaceae,Aesculus,NA
genus:agalinis,genus:agalinis,non-crop,Agalinis,False Foxglove,Genus,Orobanchaceae,Agalinis,NA
genus:agapanthus,genus:agapanthus,non-crop,Agapanthus,Lily of the Nile,Genus,Amaryllidaceae,Agapanthus,NA
genus:agave,genus:agave,non-crop,Agave,Tuberose,Genus,Asparagaceae,Agave,NA
genus:ageratum,genus:ageratum,non-crop,Ageratum,Whiteweed,Genus,Asteraceae,Ageratum,NA
genus:agrimonia,genus:agrimonia,non-crop,Agrimonia,Agrimony,Genus,Rosaceae,Agrimonia,NA
genus:ailanthus,genus:ailanthus,non-crop,Ailanthus,Tree-of-Heaven,Genus,Simaroubaceae,Ailanthus,NA
genus:albizia,genus:albizia,non-crop,Albizia,Mimosa,Genus,Fabaceae,Albizia,NA
genus:alcea,genus:alcea,non-crop,Alcea,Hollyhock,Genus,Malvaceae,Alcea,NA
genus:alchemilla,genus:alchemilla,non-crop,Alchemilla,Lady's Mantle,Genus,Rosaceae,Alchemilla,NA
genus:allamanda,genus:allamanda,non-crop,Allamanda,Allamanda,Genus,Apocynaceae,Allamanda,NA
genus:alliaria,genus:alliaria,non-crop,Alliaria,Alliaria,Genus,Brassicaceae,Alliaria,NA
genus:allium,genus:allium,non-crop,Allium,Onion,Genus,Amaryllidaceae,Allium,NA
genus:alstroemeria,genus:alstroemeria,non-crop,Alstroemeria,"Peruvian Lily, Lily of the Incas",Genus,Alstroemeriaceae,Alstroemeria,NA
genus:alyssum,genus:alyssum,non-crop,Alyssum,Sweet Alyssum,Genus,Brassicaceae,Alyssum,NA
genus:amaranthus,genus:amaranthus,non-crop,Amaranthus,Amaranth,Genus,Amaranthaceae,Amaranthus,NA
genus:amaryllis,genus:amaryllis,non-crop,Amaryllis,Amaryllis,Genus,Amaryllidaceae,Amaryllis,NA
genus:ambrosia,genus:ambrosia,non-crop,Ambrosia,Ragweed,Genus,Asteraceae,Ambrosia,NA
genus:amelanchier,genus:amelanchier,non-crop,Amelanchier,"Serviceberry, Juneberry, Shadbush",Genus,Rosaceae,Amelanchier,NA
genus:amianthium,genus:amianthium,non-crop,Amianthium,Fly Poison,Genus,Melanthiaceae,Amianthium,NA
genus:amorpha,genus:amorpha,non-crop,Amorpha,False Indigo,Genus,Fabaceae,Amorpha,NA
genus:amphicarpaea,genus:amphicarpaea,non-crop,Amphicarpaea,Hogpeanut,Genus,Fabaceae,Amphicarpaea,NA
genus:amsinckia,genus:amsinckia,non-crop,Amsinckia,Fiddleneck,Genus,Boraginaceae,Amsinckia,NA
genus:amsonia,genus:amsonia,non-crop,Amsonia,"Bluestar, Dogbane",Genus,Apocynaceae,Amsonia,NA
genus:anaphalis,genus:anaphalis,non-crop,Anaphalis,Pearly Everlasting,Genus,Asteraceae,Anaphalis,NA
genus:anemonastrum,genus:anemonastrum,non-crop,Anemonastrum,"Anemone, Windflower",Genus,Ranunculaceae,Anemonastrum,NA
genus:anemone,genus:anemone,non-crop,Anemone,Anemone,Genus,Ranunculaceae,Anemone,NA
genus:angelica,genus:angelica,non-crop,Angelica,"Angelica, Wild Celery",Genus,Apiaceae,Angelica,NA
genus:angelonia,genus:angelonia,non-crop,Angelonia,Summer Snapdragon,Genus,Plantaginaceae,Angelonia,NA
genus:anigozanthos,genus:anigozanthos,non-crop,Anigozanthos,Kangaroo Paw,Genus,Haemodoraceae,Anigozanthos,NA
genus:antennaria,genus:antennaria,non-crop,Antennaria,Pussytoes,Genus,Asteraceae,Antennaria,NA
genus:anthemis,genus:anthemis,non-crop,Anthemis,Mayweed,Genus,Asteraceae,Anthemis,NA
genus:anthurium,genus:anthurium,non-crop,Anthurium,"Anthurium, Tailflower, Flamingo Flower, Laceleaf",Genus,Araceae,Anthurium,NA
